x
2,344394908
2,95853768
2,006881046
0,936106173
1,714408477
2,741346693
1,365147909
-0,178919712
-2,701655156
0,768959994
0,996870343
0,854164006
2,099446961
2,308484773
2,213125562
0,344158597
0,38390802
1,433664526
1,609420114
0,862341476
1,983287426
2,969838018
1,096152142
2,009377384
1,684540278
0,541975592
1,647237352
1,100621524
0,472496635
0,783132574
-0,521852846
-0,132512703
0,968107196
0,639913607
0,779887949
0,80718348
0,306678695
1,128443076
0,349267792
2,444333364
1,444838609
2,66311348
2,344284677
1,757855433
-0,497108315
-0,311110424
0,569532714
0,440901067
0,606814751
2,117647737
0,771777309
-0,877202688
-1,990410232
-1,634461528
0,924870094
1,531159589
3,09003098
3,37298271
2,791644506
2,210595676
2,175610803
1,042192333
1,433796389
1,597156913
1,260154795
0,540147576
-0,202633807
-0,496209431
-0,400672273
-0,510926256
-0,834875043
1,274831114
0,753717792
2,14385894
2,154867122
0,497649173
1,218700265
0,35209013
1,88196802
2,224818754
2,385669175
0,971273054
0,551215486
1,166681368
0,437841857
-0,310291888
-0,508280039
0,735124579
2,725017637
0,879707069
-0,245996944
1,095291033
3,181325393
1,894970008
1,172131905
2,553756117
2,235862926
1,329969355
-0,353544204
-1,177220242
-0,322641657
0,659236226
0,411147581
1,936545573
3,453222733
3,059892728
1,064912714
-0,79228829
-0,908745098
-0,578765609
-0,218039372
-2,468561229
0,2201628
1,098406227
1,245662424
2,094368391
1,092846564
1,368767954
2,643683546
2,492719935
2,557144345
1,190281589
0,047116692
0,520565926
1,027400505
2,017283887
2,632751293
0,82862883
0,5409893
-0,875545244
-0,378754861
1,172117116
2,380880838
1,155595066
1,535937829
1,618860951
2,857439099
2,330800215
1,868191383
2,622691176
3,674032612
3,077071283
1,905446578
3,431215229
3,633584928
3,243540799
0,912139928
1,697650236
1,099643726
-1,626087028
0,315264803
2,046822515
2,275004389
1,848758172
1,926927419
1,252693788
3,128231031
2,171443518
1,544308019
2,026161267
1,653642683
1,756836316
-0,506798209
0,351406037
1,429056532
0,28864422
-1,222694457
0,567842015
1,149052418
2,243738233
1,674109724
2,851632646
1,109845865
3,412941298
2,774061314
0,557405218
-0,347018306
0,356280063
